ID_REF	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
226167_at	97.2	12.2	64.9	56.5	134.9	259.2	66.5	206.6	69
226168_at	1008.7	887.9	1000.1	660.3	1403.3	944.6	989.7	1042	1056.1
226169_at	6744.5	5358.5	4851.7	5125.8	3869.1	4084	2775.4	4081.9	3925.8
226170_at	1286.6	1679.9	1999	1890.7	1942.3	1632.3	2037.3	2310.6	2156.2
226171_at	304.9	336.9	256	239.9	705.1	687.8	445.5	364.9	377.2
226172_at	99.8	72.7	109.8	80.1	62	591.9	39.7	84.4	107.5
226173_at	680.9	616.9	868.7	694.1	1207.2	1284.6	883.2	1090.6	1695.1
226174_at	24.9	76.4	28	26.9	510.3	328.1	317.1	342.8	401.6
226175_at	2029.5	1399.7	1246.3	1129.4	1266.3	1232.8	1247.1	1741.4	1441.3
226176_s_at	651.4	584	700.1	671.1	1117.6	616.7	638.3	660.4	641
226177_at	12700.9	9126.6	10643.3	11396.8	10146.9	10350.2	8063.5	6844.2	7029.2
226178_at	1925.8	3944.6	3240.7	3940	2121.9	1531.1	2212.7	1802.2	2475.5
226179_at	2092.3	1506.8	1961.4	1682.7	1711.6	2061.4	1281.4	2198.1	1875.9
226180_at	1604.8	2038.2	2168	2545.1	1587.2	1224	1310.4	1456.8	981
226181_at	4020.7	2620.8	2935.9	4080	2336.1	2287.7	2155.2	2832.5	2830.1
226182_s_at	19.6	62.4	73.7	105.5	8.4	102.6	22	94.2	16.1
226183_at	1155.7	1359.5	998.7	1588.8	1707	1451.4	1895.9	1472	1589.9
226184_at	2728.2	4673.3	2072.3	2941.6	1653.9	2042.3	1970.5	1846	2213.3
226185_at	103.5	82.6	83.3	105.4	91.2	582.9	163.2	175.9	165
226186_at	396.3	530.8	364	709.3	346.1	851.7	351.2	76.4	323
226187_at	25.1	22.6	31.7	84.7	142.7	73.8	265.7	52.5	51.8
226188_at	1198.9	934.6	872.3	1206.1	948.6	640.8	562.3	797.8	683
226189_at	12754.9	16464.8	9405.4	6854.7	17416.3	10525.7	13923.9	9951.8	18182.7
226190_at	4318.7	3875	4506.9	4140.1	3929.8	3962.4	5894.5	5863	5342.5
226191_at	5647.2	4733.6	4886.5	5482.7	4787	3637.6	5145.5	3760.6	4558.2
226192_at	380.2	492.3	779.8	541.7	376.1	543.1	148.2	836.6	676.3
226193_x_at	3738.5	7323.6	7630.1	9514	4105.3	3554.9	5950.9	3581.8	4988.2
226194_at	2440.2	2971.7	2490.7	3074.2	3410.9	2041.4	3254.7	2721.2	3884.3
226195_at	2329.8	2592.2	2474.9	2254.9	2866.7	3279.6	2043.2	2457.1	2863.4
226196_s_at	3359.4	3771.2	4092	4342	3583.5	4210.5	3059.3	3333.6	3465.8
226197_at	554.7	739	774.8	614.8	399.5	446.8	380	831.7	610.6
226198_at	1018.1	1036.1	806.1	772.1	1713	1489.7	1919	1303.1	1689.8
226199_at	1082.2	1069.2	1330.6	1215.8	1170	756.8	1140.3	908.1	1221.1
226200_at	1236.7	1364	1326.2	1680	1782.3	1571.3	884.6	1454	890.9
226201_at	517.4	419.3	407.2	474.8	1325.5	1921.8	565.8	515.4	785.7
226202_at	450.7	565.2	736.3	644.1	1132.2	1162.8	1095.3	1665.8	786.6
226203_at	2753.1	1814.2	2069.9	1738.8	1766.8	1454	1547.3	1606.3	1426.5
226204_at	1443	914.2	904.4	1103.3	556.3	441.2	679.9	708.4	269.1
226205_at	489	295.1	229.3	152.1	610.8	541.5	696.8	704.3	470.2
226206_at	2642.7	1132.2	2389	2586.6	3713.9	2581.8	3279.5	3104.1	2299.2
226207_at	3147.2	2672.9	1972.7	2187.9	3826.7	4813.4	2779.2	3285	3089.2
226208_at	4213.4	3259.2	3335.6	3008	4044.9	3610.7	3645.1	3539.1	3682.1
226209_at	725.8	799.5	717.8	781.9	555.2	909.4	575.3	667.9	552.6
226210_s_at	2276.5	1094.3	985.2	2313.8	1026.5	459.1	1208.8	480.7	1079.7
226211_at	1413.7	558.4	670.6	1163.3	1048.1	799.8	1398.2	420.9	1059.8
226212_s_at	421.5	303.4	432.5	294.2	296.8	306.8	319.8	257	264.6
226213_at	12.5	76.7	202.8	119.9	7.5	298.6	135.2	123.7	86.1
226214_at	3220.7	4759.7	3806.1	5310	2473.6	3357.4	3379.7	3243.8	3086.4
226215_s_at	3210.7	1771.1	2589.6	2025.3	2549.9	2177.8	1227.8	1828.5	1445
226216_at	1785.3	195.7	807.8	469.7	974.6	661.6	332.7	430.5	443
226217_at	4766.6	4247.2	3902.2	5449.5	3575	3193.4	3208.2	2289.3	2740.6
226218_at	1697.8	1163.8	694	1510.1	2111.7	140.9	300.8	685.7	517.1
226219_at	136	101.7	258.5	66.4	208.4	470.9	58.1	82.9	112.7
226220_at	393.7	426.6	630.3	749.7	106.3	33.4	137.8	232.2	41.7
226221_at	3514.2	1515.7	2060.6	2130.8	2200.7	2715.4	1845.8	2383.1	2116.8
226222_at	2825.8	1624.1	1905.7	1943.6	1360	1025.8	773.6	765.2	946.2
226223_at	16064.2	14075.3	18553	13513.8	6797.7	5819.2	8442.8	4770.4	10294.7
226224_at	681.4	816.1	667.8	680	926.2	1125.1	1051.9	1151.5	992.4
226225_at	3990.2	3034.1	1984.8	2036.2	1430.7	1092.7	1370.7	2017.4	1668.8
226226_at	118.1	119.7	33.1	63.8	156.4	539.2	87.4	438.6	220.3
226227_x_at	35387.9	22999.2	40640.8	29184.5	38740.9	48072	24261.5	67539.1	37996.4
226228_at	1.1	13.8	3.2	43.2	3.9	16.5	29	69.1	4.4
226229_s_at	214.6	367.8	435.1	263.1	213.8	168.3	50.7	36.9	282.2
226230_at	2189.8	1677.1	2228.6	2321.3	1621.7	1502.6	1343.6	1413.3	1418.2
226231_at	2992	3210.4	3553.2	1982	2067.5	1229.4	1592.7	1352.2	2776.8
226232_at	246.7	297.2	320.9	503.2	451.5	168.5	270.7	376.7	516.1
226233_at	2999.7	3144.4	3425.3	3641.2	3206.8	2041.9	3036.4	2774.9	2144.8
226234_at	308.2	432.6	397.5	449.3	454.5	908.7	310	310.9	349.2
226235_at	1297.8	2506.8	3041.1	1987.2	1862	982.2	1674.6	1471.3	1718.6
226236_at	8730.1	7012.4	8798	7622.4	6192.6	5432.8	6569.6	8693.3	7280.7
226237_at	104443.6	114307.8	86387.5	43838.7	101869.7	87485.2	103563	83532.3	77424.5
226238_at	1145	1920.9	1320.1	1539.4	954.8	1558.4	1626	2675.2	1850.1
226239_at	515.4	902.6	484.5	700.4	978.6	1015.6	1183.5	744.6	1007
226240_at	578.9	732.3	1021.9	833.7	706.6	1723.1	1081.4	917.3	882.1
226241_s_at	2485.4	4978.7	4162.2	3592.5	4612.7	3834.5	4819.9	3289.3	4094.8
226242_at	2493.3	2997.6	2659.4	2225.4	1351.9	1249.7	1291.3	1812.2	1550.1
226243_at	2689	2520.6	4248.1	4081.5	1453.7	1912	1810.7	1976.7	2157.6
226244_at	48.3	7.1	14.3	13.1	142	288.7	43.6	223.1	20.3
226245_at	1250.8	1449	1132.4	968.1	1171.7	694.9	1250.8	1202.6	1336.1
226246_at	1692.5	1147.5	1354.6	858.3	1215.3	799.4	1525.7	828.8	1232.7
226247_at	6682.1	4564.6	5678.1	6639.4	3358	3086.2	2548.9	2743.8	2880.5
226248_s_at	92.3	18	20	20.1	17.5	164.9	16.9	28.2	8.7
226249_at	1888.3	1723.1	2467.3	2525.1	1713.7	725.2	1602.9	1144.5	1555.4
226250_at	3655.2	3098.9	2537.8	1606.4	516.8	1442.2	732.7	746.5	852.1
226251_at	1950	2291.9	1545.5	2053.2	1497.3	637.2	1268.3	1358.8	1393.9
226252_at	3234.7	2179.1	1796.6	1208.4	1876.3	1599.1	1386.9	1634	1866
226253_at	213.6	256.8	101.7	219.1	25	74.3	134.7	58.7	320.9
226254_s_at	13211.3	12435	14167.1	15365.4	8728.2	5522	7012.4	7336.2	8526.9
226255_at	2998.8	2886.8	3676.1	3443.2	3147.3	2774.2	1927.9	3329.1	3060.3
226256_at	61.9	71.6	39.2	10.9	20.8	267	90.7	131.5	85.5
226257_x_at	2971.8	4344.7	4026.9	4641.4	3026.4	3293.7	3335	3341.3	3495.4
226258_at	409.5	271.6	298.8	381.7	215.4	313.8	118.3	148.1	183.9
226259_at	305.7	510.7	641.7	585.3	237.2	274.4	263.9	419.9	172
226260_x_at	233.7	109	96.3	39.1	975.5	1349	597.7	709.6	682.1
226261_at	403	247.1	324.5	445.2	121.7	232.1	238.7	219.9	145.2
226262_at	1488.6	1756.3	1510.2	1349.5	1434	1336	1308.7	1251.2	1260.5
226263_at	818.1	774.5	796.5	465.5	656.8	1279.5	924.1	956.4	746.8
226264_at	1115.3	1365.4	694.8	618.1	1315.1	1072.5	1363.3	729.7	882.1
226265_at	7484.4	5759.1	8076.5	6811.9	6096.7	5224.7	4337.1	5302.3	4991.3
226266_at	279.5	136.8	163.1	208.9	253	446.3	392.6	292.8	312.9
226267_at	4125.4	2958.9	3593.8	4853.3	3614.8	2903	3243.3	2673.7	3027.9
226268_at	776.2	519.4	709.5	851.6	882.7	599.2	476.4	715.6	551.8
226269_at	94.7	196.3	371.9	367.8	105.9	92.8	93.8	126.6	61.4
226270_at	1060.6	1188.8	766	1343.4	831.4	802.6	1058.7	728.9	776.8
226271_at	11.9	116.3	196.3	172.7	113.4	65.4	40.9	29	22.4
226272_at	992.8	744.4	591.9	724.7	565.8	398.9	509	178	371.3
226273_at	139.8	219.4	350.5	341.1	218.7	411	178.2	85.2	226.1
226274_at	214.3	379.9	520	781.8	390.9	313.3	438.4	316.8	387.2
226275_at	1473.7	818	1716.8	944.5	1235.8	898.7	747.1	683.5	857.4
226276_at	11903.6	12256.6	14413.2	17475.8	11404.1	11685.4	12472.9	17294.4	14060.8
226277_at	2402.6	2310	1862.5	2224.5	1939.2	1717.7	1844.5	1657.2	2001.2
226278_at	832.5	858.9	1136.9	1388.9	1581.8	1018.4	1700.1	850.5	655.8
226279_at	25520.1	32894.4	22168.2	32218.3	23431.6	27832.1	24165.7	20099.1	24875.6
226280_at	4788.9	4993.2	4223.6	4693.3	3091.9	2189.5	2725.6	2323.2	2960.3
226281_at	128.3	602.5	94.9	211	268.5	504.1	3492.2	92.2	377.1
226282_at	16380.5	16695.2	15734.3	12484.8	14935.3	8652.7	14731.2	10735.8	11880.6
226283_at	1700.2	1261	1339.5	1784.2	518.7	811.7	751.7	1394	1101.8
226284_at	1401	1346.7	1331	1433.2	1249.1	835.3	805.4	1043.3	1076
226285_at	2194	1736.7	1870.1	1874.2	1543.9	810.4	1733.1	2153.8	1770
226286_at	322.5	244	49	206.9	355.2	174.9	444.9	118.8	381.8
226287_at	1508.6	2015.7	1691.4	1568.3	890.1	1685.8	1489.8	1547.4	1409.1
226288_s_at	998.6	649.5	655.5	519.1	2852.6	1838.2	2773.9	2427.3	2138.9
226289_at	458	349.9	491.8	488.5	450	804.4	788	1297.3	789.7
226290_at	3124.1	3033.1	3036.4	3618.3	2171.9	1409.1	1747.2	1715	2078.5
226291_at	2333	1872	1674.3	1813.4	1979.9	1682.6	2236.6	1769.6	2009.9
226292_at	575.3	778	407.5	732.4	707.6	646.4	1093.9	910	877.2
226293_at	1673.1	2181.9	2268.2	2702	1798.6	1902.6	1548.8	1903	2229.1
226294_x_at	4688.9	4022.7	4154.8	6308.2	2416.1	2219.4	2119.9	2079.7	2418.7
226295_at	221.3	554.6	480.2	477.5	422.3	157.8	303.2	34.1	740.8
226296_s_at	7921	11744.2	12827.2	10937.3	8535.6	8581.7	8314.9	9534.6	8544.7
226297_at	13031.9	5629.6	5790.2	7017.3	7301.3	5362.8	4707.4	5689.5	5263.4
226298_at	1249.2	956.4	748.6	1042.4	1065.9	571.2	833.9	674	689
226299_at	54	287.6	138.2	109.5	95.9	227.2	343.5	164.6	35.9
226300_at	2007	3795.2	4030.9	4700.7	2363.6	1761.3	2203.9	2580.3	2253.8
226301_at	477.9	817.4	633.3	842.5	454.4	387.2	666.7	479.7	461.3
226302_at	10828.3	12702.6	10421.8	16780.5	7023	8355.5	13542.9	5567	8967.3
226303_at	104	59.5	82.3	187.2	26.9	39	180	7.4	117.1
226304_at	304.8	503.2	239.4	545.2	4756.5	3211.1	4246.4	3068.5	2549.4
226305_at	1071.1	612.9	372	671.6	1632.4	1782.7	1617.4	1767.9	1230.7
226306_at	316.7	717.4	497.9	467.5	1288.6	1743.3	2044	1064.7	1529.9
226307_at	669.8	736.1	574.7	436.5	1015.8	1902.3	853.4	863.7	993.6
226308_at	18.5	391.1	72.4	224.6	145.4	293.7	148	185.3	95.7
226309_at	485.6	443.5	603.1	644.8	413	1200.7	428.2	473	511.2
226310_at	978.3	791.6	608.9	954	704	710.2	875.6	712.5	793.3
226311_at	29942.5	30356.9	17104.4	18592	32617.8	25779.6	26224.5	22024.1	32051.5
226312_at	5438.2	3862.3	2903.4	3278.5	3006.9	3232.4	2715.9	2077.4	2927.3
226313_at	316.5	250.9	406.8	214.1	481.2	496.4	170	130.4	106.7
226314_at	2595.6	1968.9	1869.4	1900.6	3110.1	3113.4	2764.7	3229.4	3143.3
226315_at	1380.7	1428.8	1360.2	1424.7	1338.9	1819.6	1350.9	1561.3	1362.6
226316_at	1479.1	1068.5	1006.6	914.2	541.3	775.8	651.9	892	535.2
226317_at	6152.6	4737.8	3501.9	3307.9	3759.8	3500.7	3027.5	4433.6	3812.4
226318_at	1187.3	740.8	1053.8	742.8	964.5	1579.5	891.4	1013.2	757.5
226319_s_at	2490.5	6293.1	6242.3	5644.7	2332.5	1195.7	2725.2	1429.8	1830.2
226320_at	2153.7	4252.6	4014	3855.9	1431.1	303.7	1752.1	812.7	1284.8
226321_at	4852.6	3770.2	3473.5	3624.5	1855.7	2978	2327	2174.1	2568.2
226322_at	375.9	381.7	868.6	823.9	1109.9	780	1517.3	2175.5	628.6
226323_at	1185.6	837.1	1126	1183.4	1004.3	736.2	1031.8	1159.5	1076.8
226324_s_at	663.8	788.8	652.4	715.5	974.9	1452.2	1013	1159.7	752.4
226325_at	1379.9	657.9	698.7	490.3	2162	3123.4	1044	2527.4	1518.3
226326_at	10095.4	10544.3	6813.5	10112.2	7825.5	5985.1	7084.3	4736.6	6189.6
226327_at	2115.8	1765.8	1885.8	1690.8	1165.2	1199.1	851.8	1100.6	988.3
226328_at	262.6	155.3	215.7	215.1	946.7	386.5	642.7	613.6	571.4
226329_s_at	3081.5	4885.2	3862.2	4383.8	2210.9	2446.3	2410.9	2836.5	2482
226330_s_at	2954.1	2601.5	2233.3	1940.6	2085.7	2220.2	2195.5	1929.8	2216.5
226331_at	5270.9	4400.2	3645.8	3687.1	3740.9	3507.3	4031.3	3332	3822.7
226332_at	2373.3	3191.1	2479.9	2549.4	984.8	1260.7	1173.7	1502.5	1572.1
226333_at	371.9	252.2	202.7	248.7	246.1	46.8	137.4	360.9	226.6
226334_s_at	5130.2	1764.7	1577.6	2450.3	2543.5	2632.4	1938	3039	1687.6
226335_at	4115.2	4055.8	4328.1	5640.1	2932	3441.8	2442.6	4603	3998.7
226336_at	1977.1	3609.4	3872.1	3104	2675.7	1945.6	2086.7	2089.7	2018.8
226337_at	3485.4	2710.2	3517.8	2654.9	1599.3	1651.7	2221.2	2297.4	1919.4
226338_at	2394.2	2931.3	2264.3	2468.3	1078	963.8	1405.4	1399.7	1544.2
226339_at	4007.6	4353.1	4774.8	5190.5	3471.3	2430.8	3176.2	2580.6	3169.6
226340_x_at	2269.1	1624.1	1569.5	1185.4	2107.2	3105.6	1815.3	2105.4	1196.6
226341_at	494.9	816.1	745.6	1072.9	568.2	404.5	505.8	441	593.3
226342_at	4906.1	6916.5	7106.1	6093.3	4737.4	2592.8	3756.3	2009.6	4028
226343_at	3382.3	4375.9	3567.4	3721.5	2727.6	2905.7	2493.3	2123.8	2841.7
226344_at	291.7	156.6	173.8	199.1	152.5	207.4	175.5	180.1	78.8
226345_at	4352.4	4003.5	3654.7	3155	3076.6	2597.9	2369.8	3123.8	3393.6
226346_at	499.8	363.2	354.8	187.2	498.5	751.2	309.6	752.6	729.3
226347_at	18876.9	7366.4	10474	9738.9	13658.6	11050.2	5778.5	8767.4	6960.1
226348_at	6514.7	1992.1	3364	3434.1	5505.9	4807.5	2357.4	3590.7	2378.3
226349_at	589	1060.6	696.9	545.5	841	1233.1	572.7	819.4	746.2
226350_at	2099.3	2067.2	2358	2682.8	1009.2	1001.8	1046.8	739.9	1008.7
226351_at	630.8	600.2	723.3	564.8	874.7	446.7	688.8	898.1	997.4
226352_at	8558.8	4910.4	6164.8	5020.7	5084	3974.8	3383.6	4717	4118
