geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
PHKA2	464.5	437.933333333333	325.233333333333	363.4	307.333333333333	506.866666666667	687.866666666667	253.2	501.333333333333	465.633333333333
PHKB	1405.35	1508.75	1369.35	1693.425	1403.175	1376.8	1238.35	1470.75	1203.325	1355
PHKG1	145.05	123.45	99.3	108.75	117.9	113.35	346.1	108.25	46.95	99.2
PHKG2	161.866666666667	142.5	166.233333333333	208.2	131.9	237	401.333333333333	179.933333333333	184.633333333333	152.466666666667
PHLDA1	3480.13333333333	3632.91666666667	3486.2	3046.78333333333	4602.1	3750.31666666667	2333.13333333333	5888.43333333333	4327.15	6046.78333333333
PHLDA2	1427.13333333333	1925.63333333333	2429.2	1017.2	2996.66666666667	767.666666666667	525.8	952.1	438.233333333333	869.666666666667
PHLDA3	2436.5	2151.2	2085.8	1725.5	2237.1	4394.3	5508.3	3384.2	3468	3532.4
PHLDB1	13.1	52.4	20.4	17.1	18	53.5	234.4	49.5	78.2	38.3
PHLDB2	3313.7	4080.12	4909.82	2468.56	3693.08	3346.5	3075.04	3104.52	2331.68	4231.44
PHLDB3	217.966666666667	212.133333333333	84.6666666666667	132.2	137.833333333333	354.566666666667	793.2	265.466666666667	375.2	336
PHLPP1	269.45	546.65	165.65	173.9	231	288.7	440.4	286.6	364.55	351.95
PHLPP2	607.1	718.05	579.7	518.05	854.65	451.55	793.9	467.85	498	654.4
PHOSPHO1	87.4	29	7.8	13.9	23.5	117.5	527.1	86.8	41	103.9
PHOSPHO2	797.8	252	269.8	742.1	507.2	272.4	56.6	313	353.4	372.7
PHOX2A	28.9	108	69.8	95.4	158.1	50	74.1	62	176.1	87.6
PHOX2B	21.8	14.9	61.5	93.3	108	135.3	33.9	13.7	228.8	7.5
PHPT1	5796.45	7767.8	7341.35	8419.6	11215.45	7158.35	9405.35	7045.45	6675.95	5855.55
PHRF1	365.35	399.65	319	356.5	356.25	300.95	394.2	290.45	540.05	434.95
PHTF1	682.6	873.175	664.875	735.3	780.1	579.675	578.675	664.425	712.1	605.7
PHTF2	1446.24	1760.68	1816.94	1843.52	1963.34	1515.44	1472.04	1960.18	1347.18	1918.62
PHYH	6257.7	4016.5	5963.9	5359.4	6248.9	4332.6	4081	5383	4144.2	4443.7
PHYHD1	189.3	374.4	78.4	237.2	75.5	487.5	223.5	483	475.9	368.6
PHYHIP	61.7	18.5	47.3	58.4	18	17.8	162.8	210.5	14.5	24.6
PHYHIPL	60.9	134.5	167.9	128.5	239.6	61.9	373.3	154.1	203.7	222.3
PHYKPL	660.075	885.8	456.975	590.075	447.325	768.65	768.125	629.825	879.65	593.175
PI15	126.8	160.45	45.85	87.25	72.45	61.75	378.95	46.3	135.9	157.3
PI16	178.1	144.3	499.4	319.4	87.2	341.6	357.9	289.7	288.9	267.9
PI3	48.2	84.15	93.35	51.45	51.65	131.75	479.95	28.15	151.75	79.65
PI4K2A	1138.66666666667	1284.2	1209.5	1110.6	1463.03333333333	1747.76666666667	1287.03333333333	1900.3	1303.76666666667	1522.16666666667
PI4KA	1589.7	1509.8	1156.2	1426.6	1489	1048.4	1129.2	1048	887.7	962.9
PI4KB	2119.43333333333	2229.46666666667	1969.86666666667	2021.36666666667	2151.46666666667	2437.33333333333	1894.23333333333	2136.96666666667	2109.13333333333	2348.6
PIANP	84.05	87	84.6	120.65	131.3	58.45	314.65	163.8	95.5	146.55
PIAS1	1707.2	1259.13333333333	1608.13333333333	1590.7	1065.36666666667	1267.03333333333	1529.73333333333	1227.06666666667	1305.9	1407.13333333333
PIAS2	530.5875	559.4875	417.95	455.175	615.7375	398.5	593.7875	435.3125	494.575	489.5125
PIAS3	1544.7	2217.1	1502.6	1725.6	2092.3	1669.5	1772.6	2098.4	1579.6	1791.7
PIAS4	326.35	426.95	355.85	374.8	477.65	632.8	470.05	398.35	562.45	593.65
PIBF1	1200.6	1376.3	1768.9	1981.3	2025.2	938.9	842	904.5	1527.5	1368
PICALM	4728.88	6183.62	5672.78	5145.66	6893.02	4586.2	3996.52	5873.46	4045.92	5791.06
PICK1	207.8	166.2	193.8	130.2	344.3	65.2	582.2	139.3	217.1	179.1
PID1	693.766666666667	654.566666666667	417.4	790.066666666667	1147.13333333333	940.533333333333	825.6	842.166666666667	1057.43333333333	764.466666666667
PIDD1	159	228.2	252.1	576.05	511.5	575.8	596.85	249.55	429.1	255.85
PIEZO1	1849.16666666667	3295	1371.06666666667	1196.46666666667	1876.03333333333	2700.93333333333	1465.53333333333	3203.76666666667	1460.86666666667	2090.3
PIEZO2	294.733333333333	143.7	424.583333333333	236.25	220.733333333333	225.983333333333	221.033333333333	260.85	123.183333333333	345.25
PIF1	247.45	328.5	249.45	251.7	279	261.35	195.35	303.3	303.65	242.65
PIFO	343.7	104.8	82.5	193	269.9	201.8	820.2	130.3	127.5	299.6
PIGA	818.8	923.2	668	523.8	508.5	1381.3	807.9	731.7	820.7	687
PIGB	1462.2	1300.8	1790.45	1543.1	1565.3	907.2	1139.6	1640.6	991.5	1001.7
PIGC	1070.03333333333	1051.23333333333	1170.5	1220.66666666667	1281.2	578	605.766666666667	925.633333333333	893.933333333333	757.766666666667
PIGF	2619.15	2557.2	3831.6	3588.3	3400.55	3250.4	3383.9	3860.4	2791	3242.3
PIGG	638.45	992.675	691.5	771.05	976.15	623.55	662.55	711.975	641.75	597.975
PIGH	352.6	725.6	471.9	407.3	655.2	1187.7	834.2	377.9	746.6	390.6
PIGK	2516.63333333333	1959.1	3009.7	3199.36666666667	3833.6	2528	1955.6	2646.53333333333	1986.03333333333	2181.8
PIGL	421.4	410.625	405.125	391.35	446.8	404.85	470.125	302.375	438.3	362.225
PIGM	657.966666666667	806.6	471.1	490.333333333333	703.1	395.366666666667	397.066666666667	436.9	269.066666666667	313.233333333333
PIGN	364.35	765.6	905.2	1077.75	1145.1	550.8	560.4	863.5	570.35	834.75
PIGO	380.3	660.033333333333	386	325.2	396.6	523.966666666667	341.733333333333	544.1	632.933333333333	677.466666666667
PIGP	4281.1	3975.7	2765.9	3735.5	5499.4	3283.2	2656	2463.9	3511.8	2117.9
PIGQ	283.8	361	281.05	299.55	228.75	439.65	781.3	357.35	315.3	416.05
PIGR	139.8	197.5	127.6	142.25	86.95	208.1	707.45	162.75	110.3	241.25
PIGS	1898.9	3433.8	2552.6	1999	3258.3	2779.3	2366.1	2361.9	2891.4	2398.1
PIGT	2047.15	2821.5	2636.85	3108.85	1650.5	2947.8	3162.1	1934.1	2529.2	2176.6
PIGU	1290.7	1708.4	1169.9	1367.5	1172.9	1285.2	1781.1	1498.8	1615.5	1412.8
