geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
A1BG	309.8	261.5	421.9	421.9	272.5	600.9	263.7	315.1	319	362.6	832.4	207.3	584.8	350.6
A1BG-AS1	234.3	58.7	30.9	155.5	28	131.1	104.6	29.1	59	220.3	74.2	26.4	42.7	37.7
A1CF	46.5	194.8	105.95	68.2	122.1	171.95	59.55	119.9	81.7	116.35	524.35	83.45	145.5	127.65
A2M	471.5	328.7	279.5	233.5	266.5	151.1	260.65	398.55	984.45	1066.25	216.65	382.65	216.5	448.5
A2M-AS1	250.8	161.6	156.1	113.2	136.7	190.9	265.3	166.8	158.1	213.4	56.8	131.4	323.5	144.4
A2ML1	48.6	81.8	70.15	96.2	70.45	39.95	108.45	43.25	28.2	66.45	136.5	100.95	24.3	81.95
A2MP1	8.3	162.3	29.9	118.4	25.6	66.3	95.2	23.8	134.8	8.6	102.4	54.1	130.5	94.5
A4GALT	307.8	130.1	584.2	516.2	295.7	56.9	268.1	118.1	163.8	597.7	555.4	493.3	360.1	343.5
A4GNT	54.6	151	101	135.1	146.5	205.5	114.5	117	153	271.9	285.7	175.1	83	241.6
AA06	222.8	213.1	214.5	220.6	236.3	204	150.9	114.7	57.8	159.1	220.1	210	288	171.7
AAAS	884.5	902.7	314.4	619.7	760.4	174.8	413.4	423.3	203.6	1225	935	1110.2	941.5	1207.6
AACS	1492.9	1853	1780.8	1771.8	2097.9	2166.4	1480.1	2496.3	1847.6	1949.7	1544	1343.8	1303.7	1570.5
AACSP1	3.1	13.5	5.6	14.3	17.1	72.6	76.1	40.5	11.7	21	57.5	127	169.4	24.7
AADAC	37.9	9.4	9.3	14.3	10	5.7	9.4	10.3	12.7	4.2	109.5	8.5	20.5	8.1
AADACL2	4.2	24.3	6.9	31.1	67	4.5	29.1	49.9	1.8	10.3	44.3	39.7	12.6	3.2
AADACP1	46	9.1	2.7	23.8	3.4	2.1	6.6	14	7.4	3.4	288.3	3.2	154.9	6.3
AADAT	434.5	524	179.6	372.4	562.2	363.8	448	452.8	340.9	231.5	375.3	384.6	269.4	287.7
AAED1	1158.1	2106.3	1345.3	1503.8	1140.4	1797	2156	2315.2	2499.1	1496.2	952.1	1507	1185.4	1008.8
AAGAB	714.6	643.233333333333	820.133333333333	720.266666666667	868.6	627.733333333333	1067.8	1148.36666666667	1011.63333333333	789.4	922.633333333333	787.6	797.733333333333	838.4
AAK1	1089.31428571429	1176.52857142857	936.257142857143	1025.68571428571	828.428571428571	1289.42857142857	1314.22857142857	1262.52857142857	1231.58571428571	1374.82857142857	1412.55714285714	996.142857142857	993.342857142857	984.371428571429
AAMDC	994.066666666667	925.833333333333	2169.03333333333	1999.26666666667	1672.4	1192.56666666667	962.133333333333	993.333333333333	1259.5	961.766666666667	1155.06666666667	888.866666666667	808.166666666667	969.833333333333
AAMP	1934	3001.1	2271.9	2039	2303.2	2012.3	2048.5	2449	2340.5	2812.2	1337.1	2872.4	2659.8	1852.9
AANAT	5.2	25.5	18.8	5.9	9.2	13.2	13.6	19	20.2	178.6	55.4	16.7	36.9	5.9
AAR2	2190.3	1993.7	1728.5	1872.6	2327.4	1447.8	1684.6	1459.2	1624.5	1925.2	2143.1	1628.1	1753.5	2032.7
AARS	8623.4	11556.5	7342.1	7356.6	6118.6	9817.8	6616.6	7170	5547.4	13509.9	13349.2	6725.4	14117.6	10484.7
AARS2	578.9	358.9	462.85	426.3	471.1	450.05	394.65	301.4	306.75	646.7	643.05	412.4	484.5	307.5
AASDH	938.55	749.05	900	1158.85	638.65	1469.75	1331.45	1122.85	1070.35	816.85	751.1	803.1	1118.75	954.45
AASDHPPT	2957.9	2895.66666666667	2717.7	3272.33333333333	3306.6	2996.6	3107.36666666667	3543.6	3325.06666666667	2763.26666666667	1284.83333333333	2339.6	2309.56666666667	2156.33333333333
AASS	236.55	325.95	239.55	445.75	308.7	244.45	368.8	490.05	464.6	227.9	264.2	324.15	311.65	290.15
AATF	2304.8	2869.5	1931.3	1859.6	2422.8	1480.4	2212.7	2978.4	3158.8	2399.6	2304.4	1668.8	2242.8	2306.2
AATK	203.8	148.4	182.6	14.7	93.6	359.4	238.4	265.6	129.1	358.4	183.7	285.2	118.8	211.2
AB488780	649.4	411.3	448.2	607.3	590.2	522.1	733.5	317.8	442.5	696.5	204	219.2	674.6	567.6
ABAT	340.5	349.5	344.5	357.8	385.966666666667	236	486.6	696	379.433333333333	137.166666666667	290.166666666667	354.633333333333	268.2	242.8
ABCA1	1792.1	1327.7	1072.425	1649.65	884.475	2045.2	1119.375	747.85	568.875	1703.6	1260.675	817.925	1733.15	1068.45
ABCA11P	262.3	298.9	330.3	376.2	678.2	301.6	335.6	574.4	411.9	304.4	111.6	330.2	244.5	276
ABCA12	36.1	5.6	52.9	2.4	19.8	57.3	2.1	31.6	26.3	154.1	216.1	91.8	59.7	2.9
ABCA13	36.4333333333333	14.2666666666667	17	9.66666666666667	11.8666666666667	39.5666666666667	6.76666666666667	26.4	19.1666666666667	27.1	77.4333333333333	4.76666666666667	34.9666666666667	2.36666666666667
ABCA17P	99.1	66.9	40.4	74	59.2	178.4	109.3	131.3	154.4	227.6	428.2	128.1	198.3	91.9
ABCA2	637.933333333333	778.233333333333	305.133333333333	213.9	264.366666666667	256.366666666667	219.2	215.733333333333	227.166666666667	1303.96666666667	1013.6	884.733333333333	1032.36666666667	956.7
ABCA3	158.5	151.3	213.1	229.7	37.2	210.2	112.1	459.7	375.3	510.3	184.3	150.6	372.2	191.1
ABCA4	18.3	28.55	68.75	26.7	12.4	15.15	17.65	9	31.9	39.1	105.4	68.15	34.9	77.1
ABCA5	219.4	265.1	191	316.1	276.7	757.05	311.1	326.65	305	89.05	178.95	142.9	173.75	161.1
ABCA6	10.1	98.5	270.3	175.7	88.9	97.1	104	116.8	300.4	105.3	91.7	143.2	15	49.6
ABCA7	111.2	191.5	298	260.4	239.4	252.8	187.4	95.5	254.3	337.6	821.6	367.8	367.3	211.8
ABCA8	276.966666666667	223.866666666667	704	722.566666666667	252.133333333333	970.866666666667	826.366666666667	495.3	673	214.5	215.866666666667	545.033333333333	387.533333333333	477.833333333333
ABCA9	47.6333333333333	52.5666666666667	81.4666666666667	97.9666666666667	58.6333333333333	72.4333333333333	54.1333333333333	20.7333333333333	162.5	116.366666666667	125.266666666667	25.1333333333333	88.3333333333333	119
ABCB1	63.2	15.35	53.35	32.55	20.95	35.25	37.35	31.6	72.25	80	270.5	45.45	44.8	85.75
ABCB10	1908.3	1866.6	2022.5	1647.5	1885.2	2525.6	2211.9	2144.3	3165.9	1494.8	1151	1616.3	1476.8	1309
ABCB11	7.45	92.7	24.65	16.1	14.3	70.55	10.5	9.3	5.05	55.8	89.8	195.25	163.4	16.15
ABCB4	648.15	203	237.8	500.7	79.05	167.05	254.15	120.2	20	372.35	410.55	134.75	406.65	310.4
ABCB5	48.4	68	25.675	83.775	78.8	77.65	30.45	69.175	35.6	95.175	150.75	90.975	76.675	75.225
ABCB6	573.45	690.15	313.55	657.3	378.5	827.55	134.7	524.6	322.35	813.4	1130.85	391.15	618.85	372.45
ABCB7	1371.9	1136.3	1406.6	1496.1	1344.9	1868.5	1878.7	2021.7	1299	1415.8	1098	1039.8	1765	1356
ABCB8	139.1	536.35	169.65	189.25	156.95	107.25	144.7	161.65	207.45	272.85	187.1	348.65	308	180.4
ABCB9	159.166666666667	115.266666666667	122.933333333333	157.9	195.333333333333	196.466666666667	154.066666666667	97.8666666666667	124.5	260.766666666667	357.933333333333	93.3666666666667	211.166666666667	147.433333333333
ABCC1	3462.4	2889.45	3569.25	4623.65	2941.95	4509.7	4105.1	3369.85	2766.75	4282.35	2815.15	4758.05	4645.3	3341.95
ABCC10	934.7	1792.45	1197.35	1178.05	1738.6	830.9	1170.25	1330.45	1708.4	980.5	1177.15	948.05	704.25	975
ABCC11	62.65	126	126.05	78.4	18.9	19.25	9.6	104.8	48.55	126.95	259.95	170.4	100.2	87.6
ABCC12	50.9	24.25	7.4	35.85	63.8	23.35	26.35	28.2	7.65	5.7	101.45	38.15	13.3	28
ABCC13	40.85	42.5	43.425	37.475	50.525	66.475	81.45	68.225	55.275	68.85	303.875	91.975	71.55	33.625
ABCC2	10.9	13.1	28.5	7.3	22.6	71.5	40.6	11.4	10.5	16.5	162.2	157.8	166.1	15.2
ABCC3	843.96	541.86	373.34	874.34	563.86	750.92	636.8	1023.86	227.32	1151.78	588.94	862.4	1309.6	874.12
ABCC4	653.675	784	510.25	723.575	572.875	441.65	918.4	405.575	464.8	288.975	422.45	717.65	718.35	844.875
ABCC5	513.266666666667	630.9	493.133333333333	539.233333333333	481.733333333333	354.366666666667	436.2	484.733333333333	609.033333333333	368.4	750.433333333333	418.933333333333	472.333333333333	573.133333333333
ABCC6P1	9.8	82	56.2	63.4	21.6	103.3	109.8	23	34.9	48	126.3	188.2	57.1	15.8
ABCC8	30.45	27.9	15.15	16.7	15.55	73.45	27.7	29.7	19.3	21.35	491.15	18.85	25.5	33.9
ABCC9	32.42	70.9	39.24	85.88	77.8	45.96	71	54.4	24.3	35.36	242.76	108.84	39.86	84.78
ABCD1	826	665.9	454.8	375.9	543.3	512	398.9	434.9	500.3	1615.3	1380.3	1267.7	758.3	1306.8
ABCD2	36.5	2.8	36.1	27.5	3.2	4.5	1.7	22.9	31.8	48.5	82.9	8.5	96.8	66.1
ABCD3	4080.4	3075.05	3855.45	4120.4	3586.05	3827.05	4683.3	3980.8	4969	3360.6	2059.65	3173.9	3964.45	3780.7
ABCD4	396.15	301.6	394.9	473.2	207.85	452.6	535.3	594.75	420.85	586.35	816.35	495.85	488.25	546.9
ABCE1	3959.55	5753.65	3715.1	4076.9	5811.2	2618.9	4373.4	4743.7	5933.6	3834.1	3278.5	4206.2	5151.3	4343.3
ABCF1	4025	4237.1	2741.1	3195.4	4386.6	1894.5	2708.2	3418.7	3142.8	3983.7	3443.2	3610.9	3049.9	2932.9
ABCF2	1477.66	1588.36	1167.98	1044.8	1601.04	734.92	895.04	823.26	773	1340.02	1125.3	1462.08	1409.76	1480.26
ABCF3	909.4	940.9	1037.4	728	754.2	746.5	699.7	937.9	754.2	1357.6	1759.8	1112.8	838.4	1013.2
ABCG1	55.7	82.1	106.825	30.65	71.9	56	55.025	52.15	69.175	78.025	323.65	38.175	83.95	107.25
ABCG2	107.3	121.9	150.2	117.6	153	182.7	134.2	83.6	136.5	139.8	154	69.2	181.3	20.5
ABCG4	187.8	336.3	269.2	164.9	194.5	229.1	116.4	110.5	17.9	359.9	355	111.1	43.7	233.2
ABCG5	18.3	7.8	22.9	10.2	40.2	11.6	2.1	6.2	25.7	16.7	241.1	7	99.1	65.3
ABCG8	23.7	33.8	13.8	25	22.5	11.1	29.3	86.5	15.8	35.7	89.2	21.9	27.9	21.2
ABHD1	125.8	76.3333333333333	111.066666666667	155.466666666667	89.2666666666667	82.1	69.1666666666667	131.466666666667	75.8	164.066666666667	217.333333333333	114.733333333333	140.066666666667	116.966666666667
ABHD10	2124.05	1773.15	2766.35	2040.65	3439.65	1642.8	1653.65	1556.6	1864.05	2209.1	3232.2	2326.4	3066.55	2960.55
ABHD11	230.233333333333	353.633333333333	374.033333333333	276.166666666667	348.866666666667	464.3	402.333333333333	339.833333333333	357.566666666667	292.633333333333	568.966666666667	316.033333333333	435.066666666667	324.4
ABHD12	1598.23333333333	2078.63333333333	1352.06666666667	1562.46666666667	1506.53333333333	1017.43333333333	811.1	869.566666666667	919.3	1978.63333333333	1883.2	1896.9	1345.93333333333	2010.13333333333
ABHD13	449.05	232.05	366.9	286.15	329.75	278.2	422.2	230.1	404.6	278.55	110.65	238.2	245.05	296.9
ABHD14B	3649.9	4180.6	1639.3	1824.4	1983.9	2019.7	1810.5	1551.6	1393	6792.2	7415.6	5465.8	8541.4	5538.9
ABHD15	626	711.5	521.7	533.4	538.7	402.8	344.2	608.2	666.6	576.3	422.9	711.4	787.7	781.3
ABHD16A	463.65	646.05	530.15	634.05	623.7	606.65	513.4	560.1	758	779.65	781.1	1118.6	773.1	880.25
ABHD16B	7.5	9.5	5.9	10.3	7.9	9.5	8.1	8.1	6.9	19.2	59.2	13.8	24.2	19.7
ABHD17A	4969.1	4220.6	3828.7	3404.5	3745.6	3389.1	3205.5	3594.7	3442.9	4689.2	4391.5	4484.3	4668	4681.1
ABHD17B	946.233333333333	913.9	1055.9	1142.03333333333	1276.86666666667	938.3	932.5	814.5	810.8	483.9	1378.76666666667	796.933333333333	677.633333333333	799.433333333333
ABHD17C	1531.9	1245.2	1282.6	3100.3	1164.4	1622.8	2258.4	1547.7	2028.3	1370.5	1264.9	1555.9	1545	1458.6
ABHD2	1780.48333333333	1301.1	1160.78333333333	1379.73333333333	1157.15	752.65	1609.78333333333	1253.61666666667	1181.51666666667	926.466666666667	788.033333333333	1865.53333333333	1053.23333333333	1435.96666666667
ABHD3	437.2	764.6	908.5	1194.9	1582.8	357.4	850.4	584.2	1008.3	406.8	442.7	719.5	229.4	355.7
ABHD4	2226.65	2630.4	1760.15	1717.35	1635.8	1974.8	1205.05	2059.6	1232.35	2659.4	2480.85	2816.05	2863.2	2406.45
ABHD5	1073.95	1040.425	1248.025	1262.5	722.85	652.65	945.875	1440.675	733.9	644.275	716.75	1109.875	1261.5	754.6
ABHD6	324.2	244.525	311	320.6	511.675	350.7	392.4	264.35	252.55	461.9	603.375	530.75	500.7	597.475
ABHD8	633.1	411	471	306.5	278	237.6	136.1	258	232.3	951.5	773.1	530.2	474.9	923.7
ABI1	2286.16666666667	3020.56666666667	3755.73333333333	2738.9	2869.7	2396.96666666667	2534.83333333333	2410.13333333333	2738.46666666667	2127.93333333333	1976.9	2881.06666666667	2585.16666666667	2776.73333333333
ABI2	2136.28571428571	2336.18571428571	1960.54285714286	2139.02857142857	1791.41428571429	2381.35714285714	2143.07142857143	2126.58571428571	2426.15714285714	2573.57142857143	2073.95714285714	2146.92857142857	2959.84285714286	2463.87142857143
ABI3	111.4	315.5	394.3	233.7	199	326.3	106.8	208.5	200	267.3	520.8	699.5	263.5	291.2
ABI3BP	8140.1	5514.73333333333	7753.26666666667	2998.5	3238.4	9929.26666666667	8899.13333333333	8535.23333333333	12411.6333333333	10330.2666666667	7863.06666666667	8997.53333333333	13084.7666666667	6058.9
ABL1	7801.9	10323.8	4950.9	7990.2	8492.4	6762.9	5381.5	6914.5	4065.8	9945.1	7788.6	9952.3	7622.2	10536
ABL2	1480.56666666667	1721.03333333333	1582.83333333333	1139.33333333333	1441.9	1446.2	1397.13333333333	1516.03333333333	1113.33333333333	1480.2	2055.93333333333	1761.53333333333	1626.53333333333	1906.9
ABLIM1	316.25	517.75	1059.1	1035.05	209.1	216.25	165.45	295.3	949.2	421.3	599.55	236	323.55	400.4
ABLIM2	141.16	149.3	96.7	36.86	99.76	60.4	45.82	66.94	90.88	158.56	181.18	46.04	171.36	77.14
ABLIM3	411.2	228.8	202	324.8	249.5	251.5	491.4	248.4	507.4	215.1	386.7	621.2	391.2	455.8
ABO	103.6	39.1	106.25	118.4	51.5	45.6	17.7	30.2	16.6	215.6	222.75	132.7	219.15	46
ABR	2850.95	2693.6	2649.85	2137.6	2613.7	1837.65	1614.5	1853.4	2294.4	2459.2	2062.65	2629.7	2072.05	2172.1
ABRA	39.75	8.35	27.85	24.35	8.3	2.65	4.35	18.9	3.75	38.75	152.7	4.75	6.65	31.3
ABRACL	2415.3	3224.4	3219.5	2843.3	2523.1	3334.7	4542.6	4098	4497.9	2215.1	2098.2	2180.3	2861.5	2866.1
ABT1	907.6	1200.3	1145.1	784.5	1109	727.1	674.6	754.8	575.2	868.9	599.6	1005.2	930.3	1043.4
ABTB1	81.12	216.56	139.58	166.06	101.52	195.74	101.28	86.08	79.78	297.28	555.46	231.76	199.62	264.06
ABTB2	435.35	522.75	370.95	344.2	366.25	329.25	291.15	396	261.45	563.35	230.25	568.85	379.8	399.05
AC000111.3	44.5	1.8	8.2	2.3	10.8	5.1	26.2	32.1	39.8	75	15.5	120.1	38.9	9.6
AC002059.10	290.7	224.8	253.8	264	282.5	159.9	116.4	162.4	148.4	191.8	725.4	214.2	453.7	218.8
AC002064.5	29.5	56.2	28.4	13.5	30.7	55.3	28.4	13.2	21.6	85.9	24.5	40.4	4.7	16.6
AC003973.4	7.2	51.5	8.9	14.6	18.6	6	38	132.3	46.6	85.5	56.3	90.7	27.3	54.7
AC003989.4	176.8	187.3	117.6	54.3	140.2	282	157.6	81.8	122.2	160.2	84.4	254.5	439	112.5
AC004692.5	1403.7	1083.1	1454.9	1224.8	1313.2	893.9	994.2	1075.5	723.9	1081.2	1913.2	988.7	1662.4	1367.1
AC004941.5	1375.6	1749.9	820.7	1017.8	1079.6	1832.7	1839.7	2732.7	1791.9	993.6	1595	1466.2	1101.6	1030.4
AC005162.4	24	19.9	116.9	48	62.5	126.2	82.8	8.4	21.5	62.3	138.4	37.4	95.4	44.2
AC005224.2	95	76.5	40.1	67.7	63.7	147.5	50.8	4.3	14.1	80.8	612.4	111.4	105.9	117.4
AC005256.1	20.3	18	11.4	10.7	38.8	54.9	40.5	18.5	13.3	31.6	102	28.6	26.3	25.6
AC005306.3	25.4	16.8	13.6	88.6	12.6	72.8	39.1	32.7	9.9	29.1	99.9	57.6	197.4	23.7
AC005498.3	100	124.6	135	108	87.9	209.4	98.7	285.6	148.3	31.1	143.1	57.3	104	162.5
AC005523.2	340.9	316.7	507.6	343.8	159.6	311.2	388.7	313.5	291.7	241.4	870.1	270	249	342.9
AC005523.3	56.6	98.4	45	11.6	101	20.2	11.4	13.3	26.8	170.2	205.7	18.1	29.3	33.2
AC005537.2	15.4	22.8	12.1	5.4	12.1	9.8	15.6	6.9	16	8.3	54.8	12.9	9.1	11.9
AC005592.3	124.5	47.2	94.1	57	52	111.2	43.4	53.4	102.2	105.5	216.7	59.7	148.6	41.1
AC005606.14	46.8	90.2	16.1	11.8	9.4	21.2	73.8	113.1	11.6	17.3	87.6	15.6	55.8	25.5
AC005785.2	170.5	199.4	201.5	135.2	181.1	106.7	90.5	128.2	220.5	178.3	505.3	49.8	218.3	187.4
AC005838.2	141.2	54.6	22.3	84.2	10.7	106.2	18.1	98.4	10.3	61.7	178.5	53	98.1	13.6
AC006026.13	73.2	147.4	29.5	112.6	18.9	34	101	54	19.1	236.1	351.3	89.5	9.2	125
AC006129.2	1.4	10.3	6	1.2	20.2	10.6	6.4	21.5	7.9	8.1	60.1	3.1	39.6	8.2
AC006538.1	44	81.8	91.5	79.7	72.4	169	56.8	113.4	8	9.7	150.4	21.9	50.1	58.5
AC007292.3	355	281.1	11.8	150.4	224	472.2	204.2	40.5	151	124.2	239.2	269.9	250	212.3
AC007349.5	9.6	7.2	10.4	28.6	45.2	3.5	11	52.9	11.7	61.9	21.1	9.7	56.7	31.3
AC007362.3	38.7	123.2	33.0333333333333	19.5	46.6333333333333	124.733333333333	26.0333333333333	66.6	44.1333333333333	45.1	96	67.1	39.1	51.2
AC007365.3	294.9	202.5	392.7	231.8	272.3	117.1	108.9	188.6	140.8	393.2	335.5	128	248.1	278.4
AC007389.3	108.8	133.5	83.2	138.9	13.6	191.6	85.8	142.2	246.9	247.8	248.4	221.5	356.9	90.7
AC007401.2	163.5	116.8	79.9	92.4	126.9	81.2	10.7	76.5	23	11.8	76.8	121.4	145.1	97.1
AC007680.2	6.4	20.8	37	60.1	13.7	14.8	38.6	11	9.2	17	459.9	6.3	21.5	91.1
AC007787.2	23.4	27.1	14.9	13.4	8.8	14.7	17.4	16.6	11.8	35.7	109	34.7	24.7	32
AC008088.4	41.9	21.2	100.4	4.2	148.7	172.5	164.5	142.5	195.6	36	118.6	230.8	171.3	130.1
AC008746.12	71.7	69.7	107.8	61	122.7	114.1	16.9	11.8	8	24.3	115	24.1	91.5	24
AC008753.4	70.1	98.8	28.2	15.8	86.7	28.2	134.6	106.5	130.6	22.5	40.5	135.8	35.1	50.8
AC009120.6	338.8	304.9	286.4	315.8	178.1	343.7	368.7	472.9	377.3	258.5	65.1	231.4	377.7	339.8
AC009133.15	105.8	330.5	108.7	145.6	220.8	209.5	175.1	246	209.4	54.9	305.7	172.1	323.9	159.1
AC009502.4	16.9	137.4	20.9	99.5	135	122.1	211.7	78.7	132	154.5	113.6	103.8	157.4	97.5
AC010145.4	118.7	137.4	30.4	31.6	102	7	66.7	92.2	60.4	16.9	119.6	90.6	166.8	152.1
AC010524.4	169.95	111.15	51.6	28	77.9	131.05	101.35	132.55	149.55	84.3	272.85	88.35	130.8	106.3
AC012065.7	46.8	46.5	108.2	473	73.5	189.4	204.7	38.8	318	176.8	434.5	43.2	229.6	232.4
AC012360.6	12.1	209.4	32.9	217.7	133.9	104.5	106.1	13.3	18.1	124.2	127.1	26.1	405.6	117.2
AC012499.1	83.8	123.7	66.8	94.9	120.1	4.6	74.8	82.5	90.2	15	337.9	88.8	152	15.9
AC012531.25	19.6	180.1	52.5	24.5	10.9	12.4	27.6	35.1	20	22.3	259.4	20.3	31.2	36.8
AC013463.2	36.6	75.1	52.1	90.2	87.9	73.5	71.2	51.7	126.8	59.2	65.2	74.5	228.1	76.3
AC013733.4	7.3	19.85	20.25	18.9	7.65	42.55	30.95	5.7	4.85	56.05	49.3	31.35	9.45	5.65
AC016831.7	163.1	241.1	76.4	98.4	124.8	125.8	107.1	154.2	124.4	89.4	640.4	115	58.3	107.2
AC016999.2	143.3	186.3	125.4	91.4	126	168.5	134.2	151.7	155.4	220.7	202.2	346.7	277.1	201.8
AC017002.2	89.9	118.2	114.3	27.5	71.2	708.6	311.3	299.5	208.8	157.3	276.5	30.1	34.6	78.4
AC017104.6	51.7	245.8	125.9	46.2	133.7	279.3	187.1	101.5	287	113.4	763.6	167.5	389.1	377.8
AC018755.16	644	746.8	731.7	581.3	724.2	530	615.9	525.6	491.6	825.6	1159.3	531.7	884.2	923.9
AC018755.17	23.8	2.7	2.3	10.9	1.8	4.2	4.5	41.8	6.2	9.4	41.3	60.4	12.7	22.4
AC018766.6	11.9	52.1	13.2	5.8	45.9	49.5	10.2	25.9	17.9	102.9	399.6	12.4	9.5	14.6
AC018816.3	263.6	205.6	150.9	28.1	23.2	43.5	79.7	183.2	215	196.4	123.5	129	144.8	165.4
AC024560.2	82.5	131.9	180.3	230.3	185.5	102.7	116.1	38.6	151.1	205.4	337.4	53.4	262.7	24.6
AC025442.3	107.9	139.05	57.6	72.85	89.15	105.45	48.25	81.65	122.35	136.15	364.4	133.85	156.3	122.75
AC064852.4	107.2	13.9	14.8	60.3	31.8	12.4	57.1	84.7	3.2	10.3	171.8	128.3	156.3	23.6
AC067956.1	2.8	5.2	50.2	36.3	3.8	8.4	28.8	4.7	2.6	13.4	56	5.8	3.7	12.2
AC068039.4	503.5	92.3	206.3	303.9	118.9	300.6	210.7	189.5	168.7	346.6	81	127.5	100.2	69.6
AC068138.1	118.8	123.1	125	123	107.2	166.9	62.8	92.7	138.7	95.1	200.6	138.5	41.1	134.7
AC068831.3	19.3	20.8	60.8	101.8	12.4	65.6	10.6	8.3	73.5	36.9	84.9	10.5	28.9	117.2
AC073283.7	39.9	238.4	181.9	30.1	29.9	320.3	87.6	28.8	29.7	370.3	87.1	31.3	95.5	105.1
AC073321.4	248.8	252	123.6	203.6	228.2	125.4	151.5	187.1	173.2	178.5	194.4	263.7	356.6	443.5
AC074212.6	75.2	83.65	55.8	102.6	32.55	62.35	54.4	21.2	54.9	98.9	290.25	104.65	41.6	90.15
AC079305.10	197.7	34.7	62.3	14.3	21.1	28.6	170.4	161	86	186.8	99.5	14.1	45.3	10.8
AC079741.2	77	88.5	75	12	77.9	50.9	9.1	85.6	70.4	8.5	70.4	37.4	146	124.4
AC079767.4	126.2	122.7	61	66.2	88.4	129.3	67.5	98.4	96.1	5	209.8	172.5	101.7	173.1
AC079807.4	39.9	48	6.6	47.8	115.8	58.9	40.7	52.6	7.9	195.4	105.3	7.9	129.6	161.6
AC083843.1	54.25	56.8	12.7	51.85	29.3	90.5	59.75	46.55	93.2	84.9	98.4	47.35	34.95	159.75
AC083949.1	219.8	83.1	166.9	154.6	153.6	251.5	443.2	194	263.5	110.5	338.1	7.5	187.3	141.9
AC084219.3	131.3	19.9	56.7	45.3	102	58.3	18.9	5.5	5.7	64.6	72.5	63.8	102.8	114.9
AC087501.1	14.8	9.4	52.2	25.3	57.9	38.2	16	66.8	18.3	14.2	44.8	105.8	91.7	15.3
AC090627.1	25.9	5.7	7	2.6	46.2	63.9	2.3	2.5	11	23.7	351.2	10.3	118	61.2
AC091133.1	557.7	283	322.3	567.3	326.4	444.2	405.8	298.8	315.8	410	415.2	327.6	131.6	338.1
AC091633.3	63.2	66.8	43.9	48.6	51.4	14.6	14.2	106.8	7.9	17	11.3	129.9	94.5	4.6
AC092192.1	56.8	39.9	43.2	29.8	86.8	67.7	29.5	43.7	9.4	115.6	336.5	2.1	8.2	2.9
AC092620.2	73.2	153.2	95.5	211.9	89.8	162.6	61.5	107.8	104.1	135.5	204.5	105.1	114.5	181.4
AC092660.1	211.4	177.2	120.4	134.4	127.6	164.7	208	56.7	208.1	117	564.6	117.8	306	148.5
AC092667.2	14.6	137.7	99.3	8.7	17.3	116.2	15.7	18.3	52.6	163.6	455.1	26.5	9.1	16.8
AC100830.4	151.7	206	136.3	163.9	100.7	22.8	106.3	119.4	168.5	103.9	83.7	223.7	164.1	105.9
AC104667.3	16.2	22.2	17.5	37.8	27.2	14.6	25.4	8	14.7	32.7	166.9	27.4	12.2	64.6
AC106801.1	226.2	336.5	278.7	249.2	374.6	45.7	189.5	194.6	83.2	355	223.8	190.9	415	348.1
AC108056.1	10.6	103.5	8.5	50.4	55.7	10.4	50.5	7.3	14.6	4.5	73	27.5	136.8	99.4
AC112198.1	80.8	5.9	17.6	82.6	47.5	51.2	77.6	55.6	15.9	121.1	426.7	137.7	125.8	104.2
AC114730.11	139.6	23.8	47.7	14.5	15.2	62.3	5.4	18.2	43.2	140.1	64.3	6.7	12.7	12.5
AC114752.3	86	65.2	79.8	47.2	60.5	11.7	53.1	5.1	37.8	23.1	164.2	9.3	14.1	166.3
AC124997.1	80.7	57.9	71.9	23.8	51.1	42.4	47.4	12.5	6	9	97.9	74.4	4.9	6
AC136289.1	79.3	63.5	56.3	72	6.8	3.5	54.5	5.3	11.8	43.5	76.8	4.3	53	17.2
AC139100.3	26.2	12.1	16.3	2.7	18	10.3	60.9	2.8	5.6	12.5	95.9	3.6	10.3	31.6
AC141928.1	112.15	158.75	86.3	133.9	92.55	159.75	67.9	153.9	135.4	100.3	301.15	105.7	212.7	122.25
AC144652.1	156.5	387	110.6	201.8	225.3	145.6	165.2	215.5	119.8	209.9	234.6	65.8	209.8	223.3
AC145343.2	85.4	207.9	22.5	128.2	198.5	134	43	176.7	80.9	231.3	527.5	189.2	194.2	206.5
ACAA1	1364.1	1564.2	1630.7	1695.95	1510.85	1276.4	1864.25	2032.95	1953.35	1951.2	1942.8	1813.6	1247.6	1416.55
ACAA2	2540.83333333333	1465.73333333333	3071.33333333333	2396.4	3215.6	2481.26666666667	2613.8	2243	1327.06666666667	2388.46666666667	1953.06666666667	2376.03333333333	2329	2185.03333333333
ACACA	788.5	1600.85	588	790.7	932.35	919.65	917.9	1454.7	1001.2	1404.35	291.95	1148.45	998.6	1021.25
ACACB	182.7	224.95	190.016666666667	262.15	207.366666666667	119.95	152.633333333333	163.683333333333	133.483333333333	201.45	1066.01666666667	181.7	165.783333333333	118.216666666667
ACAD10	223.8	265.75	178.075	258.925	175.325	185.8	163.125	138.6	143.325	260.625	414.5	282.025	197.425	287.15
