geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
CCZ1	234.9	198.9	217.1	225.1	180.5	327.7	201.3	200.9	120.2	335.9	668.4	277.3	270	61.8
CCZ1B	562.9	530.6	298.5	237.3	195.6	697.7	402.3	342.1	215.2	211.9	539.5	367.7	348.4	255.7
CD101	174.95	69.15	127.25	78.05	112.3	39.3	50.8	85.45	126.15	115.05	303.7	108.25	126.35	72.9
CD109	3986.33333333333	2636.5	4056.53333333333	5341.76666666667	3153.06666666667	2354.76666666667	6928.1	4269.73333333333	4099.7	2356.36666666667	2473.6	3573.76666666667	2734.63333333333	2673.16666666667
CD14	239.1	134.2	1187.7	1288.6	403.2	256.3	220.7	227.8	525.8	250.4	440.4	555.1	254.9	352
CD151	11121	10395.8	8687.9	8942.2	10052.6	10324	9022.2	6069.6	7421.8	25029.7	20011.8	25665.4	15708.3	16520.2
CD160	119.3	112.4	95.7	28	72.8	113.6	75.5	191	59.3	228.4	540.5	56.7	216.9	158.6
CD163	83.2666666666667	56.0333333333333	42.7	101.933333333333	27.8666666666667	11.8666666666667	61.6	108.066666666667	119.666666666667	62.1666666666667	262.966666666667	48.5	104.566666666667	14.6333333333333
CD163L1	241.4	30.9	261.6	55.5	234.7	118.6	239.5	85.1	23.8	90.3	654.1	443	223.1	277.9
CD164	11479.5	12350.7666666667	17973.1666666667	15290.3333333333	15085.1666666667	10777.1333333333	12226.1333333333	12812.4333333333	12393.6666666667	10024.0666666667	8149.83333333333	13903.3	12154.2333333333	11756.0666666667
CD177	32.2	27.4	133.1	66.4	166.5	15.2	125.1	29.9	54.3	56.8	146.7	202.5	322.8	55.6
CD180	20.3	47.9	32.2	19.4	18.3	24.1	44.3	31.2	17.4	22.8	81.3	18	44.5	61.5
CD19	10	106.6	98.5	78.1	115.8	80	99.7	72.8	57.3	29.5	181.1	43	113.5	109.6
CD1A	48.3	231.7	72.1	88.7	78.7	94.3	62.2	43.3	217.4	29.3	109.2	113.8	109.9	36.1
CD1B	120.3	100.4	38.1	107.7	90.3	116.2	13.4	14.4	51.8	160.1	129.4	153.3	83.7	241.4
CD1C	94.5	135.3	82.5	69.8	39.1	19.2	30.2	112.4	19.6	82.1	192.6	114.9	330.9	303.3
CD1D	70.6	55.6	10	8.3	72.8	103.9	28.7	85.7	2.2	7.3	30.8	91.8	40.2	81.3
CD1E	36	30.4	24.2	57	28.3	56.35	12.75	13.9	24.4	37.05	101.2	45.4	88.5	12.8
CD2	67.2	261.2	217.3	71.5	125.9	282.2	191.9	147.8	250.6	269.2	760.9	202.4	241.4	225.5
CD200	546.75	1154.55	1289.95	1032.1	3228.2	2862.1	662.8	1451.55	1473.4	954.4	865.95	1029.5	551.95	2156.55
